[2022-05-31 14:26:52] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/shopcart?products=[]] 	 [ReferenceError: http is not defined] 	 [/server/app.js] 	 [1082]
[2022-05-31 14:26:53] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/shopcart?products=[]] 	 [ReferenceError: http is not defined] 	 [/server/app.js] 	 [1082]
[2022-05-31 14:27:26] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/shopcart?products=[]] 	 [ReferenceError: http is not defined] 	 [/server/app.js] 	 [1082]
[2022-05-31 15:58:19] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/shopcart?products=[]] 	 [ReferenceError: userid is not defined] 	 [/server/app.js] 	 [1091]
[2022-05-31 15:58:22] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/shopcart?products=[]] 	 [ReferenceError: userid is not defined] 	 [/server/app.js] 	 [1091]
[2022-05-31 15:58:47] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/shopcart?products=[]] 	 [AssertionError [ERR_ASSERTION]: Error while getting total price of the order!] 	 [/server/app.js] 	 [1093]
[2022-06-01 14:18:57] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=5,7] 	 [TypeError: Cannot read property 'split' of undefined] 	 [/server/app.js] 	 [3219]
[2022-06-01 14:20:57] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=5,7] 	 [TypeError: Cannot read property 'split' of undefined] 	 [/server/app.js] 	 [3219]
[2022-06-02 13:38:10] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=5] 	 [ReferenceError: vouchersSum is not defined] 	 [/server/app.js] 	 [3225]
[2022-06-02 13:38:28] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=5] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-02 13:38:41] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=5] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-02 13:40:41] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=5] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-02 14:55:05] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3314]
[2022-06-02 14:55:09] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3314]
[2022-06-02 14:55:13] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3314]
[2022-06-02 14:55:37] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3316]
[2022-06-02 14:56:43] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3318]
[2022-06-02 14:57:41] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3318]
[2022-06-02 14:57:55] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3318]
[2022-06-02 14:58:38] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3316]
[2022-06-02 15:15:21] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=3,5,6] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3317]
[2022-06-02 15:28:32] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=7,5] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3317]
